time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,128.400,7573.569,618.914,5238.618,8842.903,10020.590,10163.997,10591.587,11150.834,11368.471,0.000
5,21.200,10426.250,9997.508,10058.499,10380.438,10800.223,11008.818,11014.559,11032.632,11034.849,0.000
10,44.200,10268.863,9996.241,10016.008,10049.676,10485.051,10701.659,11157.467,11366.942,11718.129,0.000
15,35.200,10222.409,9997.413,10014.977,10024.161,10373.455,10843.701,10909.783,10949.553,10950.764,0.000
20,40.800,10250.934,10000.274,10034.352,10059.487,10415.597,10809.156,10819.125,11024.679,11025.806,0.000
25,13.800,10810.326,9997.320,10277.148,10634.444,10982.500,12122.340,12125.700,12508.854,12508.854,0.000
30,25.400,10373.533,9996.225,10053.828,10457.331,10636.645,10734.100,10779.145,10783.611,10784.893,0.000
35,20.400,10481.204,9997.112,10049.041,10266.451,10833.790,11165.564,11233.794,12174.108,12175.284,0.000
40,35.600,10267.147,9998.294,10057.372,10166.856,10409.645,10723.256,10846.647,10859.158,10860.458,0.000
45,25.000,10390.661,9998.452,10065.647,10304.462,10731.095,10887.913,10892.801,11230.214,11231.003,0.000
50,35.800,10265.847,9998.006,10037.672,10055.744,10429.248,11091.762,11445.155,11750.020,11751.270,0.000
55,41.400,10245.661,9993.470,10013.844,10016.981,10206.862,11127.565,11185.081,11278.845,11284.526,0.000
60,28.200,10368.783,9997.568,10015.380,10042.528,10675.349,11079.768,11641.032,11657.488,11658.482,0.000
65,32.200,10292.972,9996.719,10016.335,10030.914,10381.089,11149.672,11568.943,11749.374,11750.637,0.000
70,40.200,10270.371,9997.318,10016.358,10041.511,10482.300,10877.680,11051.550,11241.807,11243.922,0.000
75,35.600,10259.364,9994.497,10036.461,10091.625,10429.770,10808.083,10964.572,11023.990,11025.514,0.000
80,44.000,10225.035,9992.440,10015.383,10023.007,10241.711,10987.761,11047.026,11173.309,11175.804,0.000
85,33.200,10322.171,9996.614,10015.066,10022.559,10774.500,10946.255,11049.756,11099.848,11101.036,0.000
90,46.000,10206.744,9998.360,10015.446,10024.416,10142.406,10890.693,10958.059,11109.526,11126.301,0.000
95,36.200,10246.794,9996.354,10014.511,10020.759,10441.008,10884.000,11155.557,11282.744,11283.855,0.000
100,31.400,10334.155,9996.493,10014.821,10024.113,10652.697,11265.644,11316.267,11466.630,11467.940,0.000
105,48.200,10203.930,9995.662,10015.657,10038.720,10325.568,10709.059,10832.261,10974.733,10975.953,0.000
110,34.000,10288.744,9997.511,10014.947,10021.038,10573.285,11039.416,11205.716,11417.450,11418.893,0.000
115,27.600,10371.017,9996.649,10015.925,10081.109,10821.644,11013.289,11158.329,11299.218,11300.434,0.000
120,38.400,10247.197,9998.632,10014.413,10020.651,10481.904,10678.248,11083.138,11224.395,11226.701,0.000
125,43.000,10241.809,9998.049,10015.345,10040.425,10472.661,10784.084,11043.449,11049.712,11050.950,0.000
130,48.800,10190.433,9996.809,10016.182,10025.245,10069.345,10516.885,11197.824,11892.580,11902.025,0.000
135,20.000,10482.962,9995.959,10322.297,10512.084,10726.481,10854.920,11106.220,11110.470,11110.470,0.000
140,47.600,10212.625,9996.790,10015.934,10040.874,10397.727,10813.274,10946.635,11015.015,11108.487,0.000
145,52.200,10195.540,9996.554,10015.077,10033.376,10281.370,10655.730,10918.245,11171.806,11174.134,0.000
150,61.000,10151.502,9994.859,10014.249,10016.849,10042.779,10625.913,10882.037,11058.436,11066.607,0.000
155,40.600,10256.791,9994.908,10014.984,10024.335,10514.174,10841.400,10958.743,11056.678,11058.283,0.000
160,28.800,10355.813,9995.586,10040.779,10166.702,10714.152,10979.580,10983.692,11124.131,11125.396,0.000
165,30.200,10309.763,9997.017,10039.947,10075.003,10670.857,10820.997,10880.341,11182.021,11183.122,0.000
170,41.000,10275.918,9996.080,10014.229,10018.798,10440.102,10824.406,10975.509,11340.456,11343.256,0.000
175,38.200,10226.322,9997.085,10015.127,10032.606,10402.580,10666.594,10871.314,11090.792,11092.787,0.000
180,31.600,10329.128,9994.601,10017.847,10045.670,10402.253,11300.770,11448.569,11656.492,11657.753,0.000
185,37.800,10242.096,9996.014,10027.091,10099.408,10394.711,10676.865,10817.972,10960.218,10961.634,0.000
190,49.400,10205.446,9995.412,10018.542,10057.174,10402.111,10595.904,10676.415,10880.225,10890.788,0.000
195,22.200,10469.326,9998.423,10156.360,10457.786,10714.483,10940.497,11166.514,11459.389,11460.528,0.000
"outputfile.3.res" 119L, 12659C              
