user1@node1:/mnt/storage/user1/oltpbench/results$ cat outputfile.res
time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,531.200,18.831,0.726,6.030,16.745,24.317,36.265,51.171,111.978,150.878,0.053
5,642.000,15.577,0.526,6.426,16.667,17.321,25.832,35.005,67.330,117.114,0.064
10,476.600,20.954,0.683,7.446,16.728,23.955,39.479,58.531,150.985,326.148,0.048
15,409.000,24.566,0.535,7.976,16.702,21.504,34.364,141.907,175.166,217.602,0.041
20,366.400,27.456,0.646,7.875,16.678,22.125,58.188,142.373,216.831,342.180,0.036
25,355.400,28.192,0.650,8.492,16.723,24.649,42.032,159.227,250.502,317.020,0.035
30,329.000,29.957,0.503,8.268,16.707,23.795,50.551,158.692,425.527,499.758,0.033
35,346.800,28.864,0.357,8.319,16.745,24.433,41.669,175.396,271.861,417.324,0.035
40,343.600,29.320,0.680,8.198,16.754,25.325,67.265,149.326,183.501,229.336,0.034
45,371.000,28.606,0.403,8.003,16.664,22.035,41.577,133.828,400.092,717.070,0.035
50,291.200,31.922,0.525,8.439,16.708,23.035,50.919,191.719,348.073,400.647,0.031
55,1197.400,8.350,0.275,0.493,0.873,1.354,11.659,22.305,189.075,797.210,0.120
60,1320.000,7.687,0.265,0.452,0.831,1.147,3.171,16.919,167.225,1408.687,0.130
65,1529.800,6.425,0.308,0.536,0.903,1.232,3.105,16.805,173.270,577.492,0.156
70,1602.600,6.403,0.336,0.562,0.963,1.331,3.923,16.878,167.047,699.695,0.156
75,1964.600,5.238,0.320,0.588,0.976,1.406,6.457,16.648,148.597,491.662,0.191
80,1840.000,5.148,0.413,0.650,1.061,1.501,4.359,16.742,121.061,491.855,0.194
85,2057.600,4.990,0.354,0.587,0.967,1.335,3.317,17.566,136.196,432.762,0.200
90,1559.200,6.325,0.356,0.570,0.959,1.308,3.422,17.217,148.865,1108.978,0.158
95,2564.800,3.815,0.362,0.590,0.995,1.391,5.624,16.851,64.615,209.194,0.262
100,2701.600,3.713,0.355,0.576,0.976,1.376,5.911,16.390,42.639,255.217,0.269
105,2661.600,3.403,0.290,0.591,0.995,1.416,6.284,16.337,33.018,269.855,0.294
110,2776.600,3.639,0.333,0.591,0.996,1.406,3.816,16.040,45.609,370.255,0.275
115,3231.200,3.045,0.288,0.559,0.988,1.367,2.937,12.547,29.067,275.949,0.328
120,1035.400,10.059,0.316,0.756,1.055,2.711,17.381,26.110,228.547,777.321,0.099
125,339.600,28.226,0.591,7.144,16.938,23.502,42.960,156.200,317.431,443.057,0.035
130,414.200,24.138,0.428,1.840,6.124,17.279,42.334,150.926,366.875,418.323,0.041
135,425.800,23.496,0.444,1.832,7.038,16.999,34.000,167.389,349.609,375.303,0.043
140,276.800,37.058,0.608,8.829,16.927,25.202,58.493,199.825,467.419,576.296,0.027
